,t_num,cusno,gender,age,age_category,region,product,price,quantity,amount,date,date_ym
37,45225,1829,1,37,30,1,10,9,5,45,2020-01-03,202001
38,16929,1354,0,37,30,1,30,1927,1,1927,2020-01-03,202001
39,12849,1715,0,40,40,1,10,36,13,468,2020-01-03,202001
40,47323,1994,1,53,50,1,10,88,13,1144,2020-01-03,202001
41,14555,1824,1,40,40,1,10,89,7,623,2020-01-03,202001
42,32020,1047,1,58,50,1,10,85,1,85,2020-01-03,202001
43,37909,1542,0,41,40,1,10,27,11,297,2020-01-03,202001
44,44796,1963,0,49,40,1,10,51,8,408,2020-01-03,202001
45,41848,1283,1,30,30,1,10,87,15,1305,2020-01-03,202001
46,13124,1906,1,25,20,1,20,244,6,1464,2020-01-03,202001
47,32534,1984,1,44,40,1,10,54,15,810,2020-01-03,202001
48,39255,1495,0,35,30,1,20,232,8,1856,2020-01-03,202001
49,17483,1949,1,38,30,1,10,52,5,260,2020-01-03,202001
50,24413,1301,1,29,20,1,10,59,18,1062,2020-01-03,202001
51,24173,1504,1,55,50,1,20,397,2,794,2020-01-03,202001
52,15968,1387,1,41,40,1,30,1461,3,4383,2020-01-03,202001
53,32193,1260,1,45,40,1,10,30,20,600,2020-01-03,202001
54,36354,1459,1,45,40,1,20,238,1,238,2020-01-03,202001
55,38985,1332,0,43,40,1,20,365,6,2190,2020-01-03,202001
56,14221,1730,1,60,60,1,20,214,8,1712,2020-01-03,202001
57,23363,1613,0,71,70,1,10,86,1,86,2020-01-03,202001
58,39109,1245,1,60,60,1,30,1624,3,4872,2020-01-03,202001
59,32240,1113,1,71,70,1,20,191,2,382,2020-01-04,202001
60,27462,1980,1,54,50,1,10,67,9,603,2020-01-04,202001
61,34383,1227,0,61,60,1,10,79,6,474,2020-01-04,202001
62,27635,1364,1,53,50,1,10,79,9,711,2020-01-04,202001
63,28428,1572,1,50,50,1,20,161,3,483,2020-01-04,202001
64,10342,1787,1,59,50,1,20,312,7,2184,2020-01-04,202001
65,12564,1979,1,64,60,1,20,476,4,1904,2020-01-04,202001
66,30300,1580,0,52,50,1,10,63,3,189,2020-01-04,202001
67,39550,1552,1,47,40,1,20,173,1,173,2020-01-04,202001
68,12019,1269,1,55,50,1,30,1947,4,7788,2020-01-04,202001
69,45667,1233,0,36,30,1,10,93,16,1488,2020-01-04,202001
70,23509,1312,0,33,30,1,20,217,3,651,2020-01-04,202001
71,26996,1377,0,35,30,1,10,28,7,196,2020-01-04,202001
72,49407,1427,1,57,50,1,10,18,3,54,2020-01-04,202001
73,42826,1200,0,47,40,1,10,51,1,51,2020-01-04,202001
74,24435,1196,0,49,40,1,10,22,19,418,2020-01-04,202001
75,15211,1348,1,60,60,1,20,441,2,882,2020-01-04,202001
76,25975,1701,0,46,40,1,20,111,5,555,2020-01-04,202001
77,16553,1341,0,46,40,1,20,180,5,900,2020-01-05,202001
78,45889,1956,1,41,40,1,30,1011,1,1011,2020-01-05,202001
79,48606,1258,1,54,50,1,10,97,4,388,2020-01-05,202001
80,18449,1536,1,38,30,1,10,87,16,1392,2020-01-05,202001
81,21019,1527,0,50,50,1,10,75,11,825,2020-01-05,202001
82,40089,1014,1,35,30,1,20,494,3,1482,2020-01-05,202001
83,45935,1463,0,49,40,1,10,55,17,935,2020-01-05,202001
84,40067,1394,1,44,40,1,10,16,15,240,2020-01-05,202001
85,30140,1296,1,40,40,1,20,376,2,752,2020-01-05,202001
86,10315,1667,0,27,20,1,10,76,11,836,2020-01-05,202001
87,17060,1581,0,54,50,1,10,95,3,285,2020-01-05,202001
88,37500,1736,0,37,30,1,20,315,9,2835,2020-01-05,202001
89,13534,1022,1,42,40,1,10,84,1,84,2020-01-05,202001
90,41752,1987,0,40,40,1,10,22,6,132,2020-01-05,202001
91,19111,1708,0,30,30,1,10,21,8,168,2020-01-05,202001
92,44999,1638,1,28,20,1,10,12,9,108,2020-01-05,202001
93,16739,1379,1,38,30,1,10,55,2,110,2020-01-05,202001
94,18520,1306,1,23,20,1,10,44,4,176,2020-01-05,202001
95,16763,1713,0,39,30,1,20,157,5,785,2020-01-05,202001
96,43430,1846,1,53,50,1,10,78,7,546,2020-01-05,202001
97,31603,1910,0,52,50,1,10,14,10,140,2020-01-05,202001
98,32721,1903,0,46,40,1,10,86,7,602,2020-01-05,202001
99,44400,1091,1,48,40,1,10,52,16,832,2020-01-05,202001
100,25022,1094,0,37,30,1,30,1704,1,1704,2020-01-05,202001
101,22097,1455,1,53,50,1,20,128,6,768,2020-01-06,202001
102,15486,1727,1,61,60,1,10,81,20,1620,2020-01-06,202001
103,25766,1379,1,38,30,1,10,89,8,712,2020-01-06,202001
104,41049,1972,0,37,30,1,10,48,15,720,2020-01-06,202001
105,30526,1221,1,41,40,1,20,296,1,296,2020-01-06,202001
106,31549,1927,1,57,50,1,10,87,17,1479,2020-01-06,202001
107,49818,1905,1,45,40,1,10,15,2,30,2020-01-06,202001
108,23540,1323,0,45,40,1,10,1,20,20,2020-01-06,202001
109,44975,1967,0,45,40,1,10,94,2,188,2020-01-06,202001
110,28663,1626,0,35,30,1,20,350,2,700,2020-01-06,202001
111,37582,1298,0,45,40,1,20,415,3,1245,2020-01-06,202001
112,39188,1900,0,46,40,1,10,84,7,588,2020-01-06,202001
113,39167,1860,1,45,40,1,30,944,2,1888,2020-01-06,202001
114,37585,1473,1,38,30,1,20,102,6,612,2020-01-06,202001
115,27634,1458,1,39,30,1,20,294,3,882,2020-01-06,202001
116,47373,1883,0,28,20,1,20,137,7,959,2020-01-06,202001
117,28907,1144,0,44,40,1,10,22,17,374,2020-01-07,202001
118,45659,1303,1,49,40,1,20,219,6,1314,2020-01-07,202001
119,31091,2000,0,47,40,1,10,81,18,1458,2020-01-07,202001
120,30957,1490,0,63,60,1,20,304,6,1824,2020-01-07,202001
121,30144,1538,0,67,60,1,30,766,5,3830,2020-01-07,202001
122,27755,1194,0,47,40,1,10,34,13,442,2020-01-07,202001
123,10542,1254,1,54,50,1,10,78,9,702,2020-01-07,202001
124,39274,1115,1,41,40,1,10,56,7,392,2020-01-07,202001
125,10230,1416,0,50,50,1,20,332,9,2988,2020-01-07,202001
126,32055,1231,0,37,30,1,30,1000,5,5000,2020-01-07,202001
127,37967,1893,0,49,40,1,10,6,1,6,2020-01-07,202001
128,31446,1020,1,47,40,1,20,497,2,994,2020-01-07,202001
129,37591,1159,1,51,50,1,20,285,2,570,2020-01-07,202001
130,46755,1766,1,44,40,1,10,32,16,512,2020-01-08,202001
131,13109,1215,1,40,40,1,20,487,6,2922,2020-01-08,202001
132,45494,1060,0,46,40,1,10,55,3,165,2020-01-08,202001
133,42966,1812,0,33,30,1,10,42,16,672,2020-01-08,202001
134,35563,1330,1,48,40,1,10,11,13,143,2020-01-08,202001
135,38998,1331,1,38,30,1,10,16,7,112,2020-01-08,202001
136,42914,1861,1,37,30,1,20,462,4,1848,2020-01-08,202001
137,45272,1152,1,33,30,1,10,100,8,800,2020-01-08,202001
138,43441,1465,1,47,40,1,10,83,14,1162,2020-01-08,202001
139,48046,1462,0,60,60,1,10,21,6,126,2020-01-08,202001
140,24014,1356,0,45,40,1,20,117,3,351,2020-01-08,202001
141,44585,1050,0,50,50,1,10,14,19,266,2020-01-08,202001
142,28324,1760,0,45,40,1,10,24,9,216,2020-01-08,202001
143,27532,1395,0,47,40,1,20,434,6,2604,2020-01-08,202001
144,25863,1865,1,48,40,1,10,83,5,415,2020-01-08,202001
145,19084,1998,1,43,40,1,20,174,9,1566,2020-01-08,202001
146,43297,1414,1,43,40,1,30,1921,1,1921,2020-01-08,202001
147,45700,1294,1,57,50,1,20,211,3,633,2020-01-08,202001
148,15900,1739,1,54,50,1,10,6,7,42,2020-01-08,202001
149,27029,1685,1,36,30,1,10,20,5,100,2020-01-08,202001
150,18717,1324,1,40,40,1,10,96,20,1920,2020-01-09,202001
151,23702,1264,0,54,50,1,10,86,6,516,2020-01-09,202001
152,19716,1426,0,53,50,1,20,214,1,214,2020-01-09,202001
153,29569,1139,1,29,20,1,10,67,4,268,2020-01-09,202001
154,47355,1819,1,60,60,1,20,275,6,1650,2020-01-09,202001
155,11718,1846,1,53,50,1,20,253,1,253,2020-01-09,202001
156,35540,1737,1,27,20,1,10,29,12,348,2020-01-09,202001
157,27339,1300,1,32,30,1,10,76,16,1216,2020-01-09,202001
158,12629,1535,1,54,50,1,10,93,5,465,2020-01-09,202001
159,26411,1053,0,28,20,1,10,87,1,87,2020-01-09,202001
160,44012,1477,0,42,40,1,20,260,5,1300,2020-01-09,202001
161,44140,1057,1,19,10,1,20,103,8,824,2020-01-09,202001
162,26067,1181,0,54,50,1,20,162,3,486,2020-01-09,202001
163,48282,1865,1,48,40,1,10,83,13,1079,2020-01-09,202001
164,47391,1913,1,35,30,1,10,69,2,138,2020-01-09,202001
165,18664,1116,0,47,40,1,20,269,1,269,2020-01-09,202001
166,16761,1620,0,51,50,1,10,77,14,1078,2020-01-09,202001
167,36837,1863,0,60,60,1,30,1909,2,3818,2020-01-09,202001
168,33349,1181,0,54,50,1,10,98,19,1862,2020-01-10,202001
169,12596,1091,1,48,40,1,10,55,4,220,2020-01-10,202001
170,23612,1903,0,46,40,1,20,364,6,2184,2020-01-10,202001
171,11309,1300,1,32,30,1,10,36,17,612,2020-01-10,202001
172,37924,1789,0,74,70,1,10,12,13,156,2020-01-10,202001
173,37307,2000,0,47,40,1,20,126,8,1008,2020-01-10,202001
174,21990,1073,1,52,50,1,10,89,19,1691,2020-01-10,202001
175,15023,1057,1,19,10,1,10,79,13,1027,2020-01-10,202001
176,35539,1374,0,52,50,1,30,1979,4,7916,2020-01-10,202001
177,26657,1367,1,40,40,1,10,8,3,24,2020-01-10,202001
178,42527,1604,1,46,40,1,30,1780,4,7120,2020-01-10,202001
179,46726,1466,0,52,50,1,10,83,5,415,2020-01-10,202001
180,30943,1141,1,43,40,1,10,2,18,36,2020-01-10,202001
181,36801,1210,1,54,50,1,10,100,19,1900,2020-01-10,202001
182,25275,1873,0,62,60,1,20,340,5,1700,2020-01-10,202001
183,47641,1955,0,53,50,1,20,404,5,2020,2020-01-10,202001
184,29299,1736,0,37,30,1,10,79,4,316,2020-01-10,202001
185,40335,1039,1,48,40,1,10,97,4,388,2020-01-10,202001
186,25377,1667,0,27,20,1,10,11,11,121,2020-01-10,202001
187,15009,1658,1,39,30,1,10,14,10,140,2020-01-10,202001
188,46232,1554,0,53,50,1,10,53,1,53,2020-01-11,202001
189,29835,1962,1,60,60,1,10,82,12,984,2020-01-11,202001
190,33798,1701,0,46,40,1,10,80,9,720,2020-01-11,202001
191,26903,1860,1,45,40,1,10,4,12,48,2020-01-11,202001
192,18200,1299,1,45,40,1,10,36,13,468,2020-01-11,202001
193,43486,1746,0,41,40,1,10,5,19,95,2020-01-11,202001
194,20416,1421,1,60,60,1,10,42,4,168,2020-01-11,202001
195,15053,1097,1,35,30,1,10,53,9,477,2020-01-11,202001
196,36646,1289,0,74,70,1,20,189,1,189,2020-01-11,202001
197,31773,1597,0,35,30,1,10,22,20,440,2020-01-11,202001
198,14689,1756,0,50,50,1,10,93,12,1116,2020-01-11,202001
199,14376,1313,0,44,40,1,10,52,4,208,2020-01-11,202001
200,45587,1061,0,61,60,1,30,547,4,2188,2020-01-11,202001
201,27501,1365,0,48,40,1,20,449,10,4490,2020-01-11,202001
202,23105,1751,0,49,40,1,10,81,5,405,2020-01-11,202001
203,27169,1953,0,34,30,1,10,6,3,18,2020-01-11,202001
204,10806,1080,1,52,50,1,30,1607,1,1607,2020-01-11,202001
205,45211,1240,1,39,30,1,30,1519,3,4557,2020-01-11,202001
206,28037,1429,0,29,20,1,10,55,4,220,2020-01-11,202001
207,34770,1595,1,33,30,1,20,275,10,2750,2020-01-11,202001
208,15542,1784,0,29,20,1,10,14,9,126,2020-01-11,202001
209,18545,1239,0,54,50,1,30,1619,3,4857,2020-01-11,202001
210,20800,1367,1,40,40,1,20,469,2,938,2020-01-12,202001
211,26388,1528,1,51,50,1,20,441,8,3528,2020-01-12,202001
212,24749,1322,1,38,30,1,10,65,15,975,2020-01-12,202001
213,20286,1034,0,37,30,1,20,480,2,960,2020-01-12,202001
214,18112,1536,1,38,30,1,10,58,14,812,2020-01-12,202001
215,12001,1784,0,29,20,1,20,447,10,4470,2020-01-12,202001
216,31803,1948,0,52,50,1,10,89,1,89,2020-01-12,202001
217,49366,1378,1,66,60,1,20,145,5,725,2020-01-12,202001
218,43293,1853,0,51,50,1,20,463,1,463,2020-01-12,202001
219,11582,1254,1,54,50,1,20,448,5,2240,2020-01-12,202001
220,47954,1189,0,54,50,1,30,1607,3,4821,2020-01-12,202001
221,46789,1139,1,29,20,1,10,26,12,312,2020-01-12,202001
222,16860,1846,1,53,50,1,20,286,6,1716,2020-01-12,202001
223,41466,1250,1,41,40,1,10,65,8,520,2020-01-12,202001
224,42255,1460,1,36,30,1,10,78,7,546,2020-01-12,202001
225,14223,1492,1,45,40,1,10,2,16,32,2020-01-12,202001
226,19482,1686,1,42,40,1,30,1679,5,8395,2020-01-12,202001
227,45424,1594,1,37,30,1,20,368,10,3680,2020-01-12,202001
228,16628,1882,0,41,40,1,20,225,3,675,2020-01-12,202001
229,14771,1447,1,17,10,1,10,27,5,135,2020-01-13,202001
230,37860,1197,1,51,50,1,30,939,3,2817,2020-01-13,202001
231,31985,1229,0,45,40,1,10,26,13,338,2020-01-13,202001
232,30447,1084,1,48,40,1,20,218,6,1308,2020-01-13,202001
233,22837,1880,0,47,40,1,10,78,4,312,2020-01-13,202001
234,24770,1947,1,17,10,1,10,94,1,94,2020-01-13,202001
235,14737,1758,0,54,50,1,30,1261,1,1261,2020-01-13,202001
236,48966,1705,0,55,50,1,10,45,6,270,2020-01-13,202001
237,38514,1383,0,28,20,1,30,1985,5,9925,2020-01-13,202001
238,32733,1443,0,40,40,1,10,74,12,888,2020-01-13,202001
239,30558,1684,0,56,50,1,20,111,10,1110,2020-01-13,202001
240,47091,1657,1,54,50,1,10,18,17,306,2020-01-13,202001
241,39546,1394,1,44,40,1,10,21,19,399,2020-01-13,202001
242,14439,1052,0,47,40,1,10,44,20,880,2020-01-13,202001
243,12127,1566,1,33,30,1,10,97,18,1746,2020-01-13,202001
244,42686,1128,1,48,40,1,10,88,4,352,2020-01-13,202001
245,39070,1739,1,54,50,1,20,170,2,340,2020-01-14,202001
246,23961,1350,0,37,30,1,10,65,10,650,2020-01-14,202001
247,23196,1257,1,56,50,1,10,28,15,420,2020-01-14,202001
248,32195,1452,0,45,40,1,10,71,5,355,2020-01-14,202001
249,19461,1543,1,48,40,1,10,75,18,1350,2020-01-14,202001
250,33555,1161,0,34,30,1,20,186,5,930,2020-01-14,202001
251,44626,1989,1,45,40,1,10,8,5,40,2020-01-14,202001
252,19275,1412,1,40,40,1,10,47,19,893,2020-01-14,202001
253,24904,1596,1,47,40,1,20,301,1,301,2020-01-14,202001
254,36384,1627,0,31,30,1,30,1550,4,6200,2020-01-14,202001
255,39602,1611,1,40,40,1,20,160,1,160,2020-01-14,202001
256,33152,1263,0,44,40,1,30,685,3,2055,2020-01-14,202001
257,26144,1206,0,39,30,1,30,897,3,2691,2020-01-14,202001
258,12622,1709,0,60,60,1,20,450,1,450,2020-01-14,202001
259,35899,1179,0,49,40,1,10,97,4,388,2020-01-15,202001
260,16767,1013,0,46,40,1,10,55,14,770,2020-01-15,202001
261,34124,1104,1,46,40,1,10,34,19,646,2020-01-15,202001
262,45580,1601,1,46,40,1,10,34,13,442,2020-01-15,202001
263,10536,1867,1,40,40,1,30,1411,4,5644,2020-01-15,202001
264,44484,1205,1,55,50,1,10,61,8,488,2020-01-15,202001
265,42092,1955,0,53,50,1,20,174,6,1044,2020-01-15,202001
266,33664,1657,1,54,50,1,10,71,15,1065,2020-01-15,202001
267,36339,1621,0,65,60,1,30,1827,5,9135,2020-01-15,202001
268,16502,1762,1,52,50,1,10,77,18,1386,2020-01-15,202001
269,38371,1726,1,41,40,1,20,178,2,356,2020-01-15,202001
270,49945,1068,0,61,60,1,30,1294,3,3882,2020-01-15,202001
271,17073,1856,0,45,40,1,20,178,4,712,2020-01-15,202001
272,20618,1018,1,43,40,1,10,67,15,1005,2020-01-15,202001
273,39762,1883,0,28,20,1,10,24,17,408,2020-01-15,202001
274,11712,1080,1,52,50,1,30,1069,5,5345,2020-01-15,202001
275,31213,1237,1,27,20,1,10,77,4,308,2020-01-16,202001
276,21277,1727,1,61,60,1,10,46,17,782,2020-01-16,202001
277,37695,1867,1,40,40,1,30,1404,3,4212,2020-01-16,202001
278,23033,1114,1,39,30,1,30,1577,4,6308,2020-01-16,202001
279,42861,1775,1,51,50,1,20,418,8,3344,2020-01-16,202001
280,22374,1765,0,48,40,1,10,63,19,1197,2020-01-16,202001
281,41999,1671,1,47,40,1,20,346,8,2768,2020-01-16,202001
282,29906,1996,1,25,20,1,10,3,12,36,2020-01-16,202001
283,23065,1080,1,52,50,1,10,52,2,104,2020-01-16,202001
284,21486,1261,1,40,40,1,10,51,6,306,2020-01-16,202001
285,29785,1084,1,48,40,1,20,276,3,828,2020-01-16,202001
286,29844,1763,0,44,40,1,20,457,4,1828,2020-01-16,202001
287,31701,1726,1,41,40,1,20,177,10,1770,2020-01-16,202001
288,10866,1596,1,47,40,1,20,146,3,438,2020-01-16,202001
289,12042,1090,1,55,50,1,20,282,9,2538,2020-01-17,202001
290,45046,1506,1,56,50,1,10,20,6,120,2020-01-17,202001
291,38410,1375,0,52,50,1,20,462,1,462,2020-01-17,202001
292,15859,1315,0,21,20,1,10,50,14,700,2020-01-17,202001
293,19182,1829,1,37,30,1,10,9,12,108,2020-01-17,202001
294,35017,1765,0,48,40,1,10,10,6,60,2020-01-17,202001
295,29781,1276,0,41,40,1,30,502,3,1506,2020-01-17,202001
296,29834,1276,0,41,40,1,10,48,6,288,2020-01-17,202001
297,41944,1627,0,31,30,1,20,329,9,2961,2020-01-17,202001
298,15070,1276,0,41,40,1,20,500,2,1000,2020-01-17,202001
299,25215,1017,1,51,50,1,10,79,3,237,2020-01-17,202001
300,36263,1808,1,39,30,1,20,481,3,1443,2020-01-17,202001
301,43754,1129,0,52,50,1,20,343,9,3087,2020-01-17,202001
302,25601,1644,0,44,40,1,10,8,4,32,2020-01-17,202001
303,37367,1697,1,51,50,1,30,1649,1,1649,2020-01-17,202001
304,15769,1643,0,46,40,1,20,366,6,2196,2020-01-17,202001
305,47790,1349,1,37,30,1,10,85,1,85,2020-01-17,202001
306,35509,1351,1,47,40,1,20,115,8,920,2020-01-17,202001
307,16164,1100,1,40,40,1,30,1784,3,5352,2020-01-17,202001
308,43280,1908,1,42,40,1,10,35,5,175,2020-01-18,202001
309,29651,1501,1,44,40,1,20,427,10,4270,2020-01-18,202001
310,33358,1168,0,28,20,1,10,83,15,1245,2020-01-18,202001
311,11093,1759,0,60,60,1,10,64,13,832,2020-01-18,202001
312,41850,1006,0,56,50,1,10,19,19,361,2020-01-18,202001
313,17282,1481,1,47,40,1,30,639,1,639,2020-01-18,202001
314,17759,1404,0,38,30,1,30,1540,5,7700,2020-01-18,202001
315,23391,1474,1,32,30,1,10,17,19,323,2020-01-18,202001
316,31994,1023,1,36,30,1,10,19,12,228,2020-01-18,202001
317,49693,1074,0,42,40,1,30,1046,1,1046,2020-01-18,202001
318,17543,1131,1,38,30,1,20,109,5,545,2020-01-18,202001
319,46768,1741,1,27,20,1,10,38,17,646,2020-01-18,202001
320,11983,1822,1,38,30,1,30,1867,5,9335,2020-01-18,202001
321,26423,1425,1,32,30,1,10,25,8,200,2020-01-18,202001
322,48008,1527,0,50,50,1,10,76,6,456,2020-01-18,202001
323,24212,1923,0,43,40,1,10,84,20,1680,2020-01-18,202001
324,26610,1858,1,28,20,1,10,34,15,510,2020-01-18,202001
325,21008,1664,1,36,30,1,10,7,6,42,2020-01-18,202001
326,48301,1038,1,67,60,1,10,2,1,2,2020-01-18,202001
327,31248,1142,0,64,60,1,10,33,13,429,2020-01-18,202001
328,48507,1883,0,28,20,1,10,72,2,144,2020-01-18,202001
329,27711,1551,1,20,20,1,10,82,16,1312,2020-01-18,202001
330,38987,1694,0,47,40,1,20,288,10,2880,2020-01-19,202001
331,16843,1574,0,42,40,1,30,985,3,2955,2020-01-19,202001
332,31478,1606,0,50,50,1,20,294,7,2058,2020-01-19,202001
333,26730,1624,0,52,50,1,10,13,5,65,2020-01-19,202001
334,19138,1902,1,28,20,1,10,62,8,496,2020-01-19,202001
335,32912,1211,1,55,50,1,20,421,3,1263,2020-01-19,202001
336,49861,1305,1,41,40,1,20,399,6,2394,2020-01-19,202001
337,44578,1427,1,57,50,1,10,6,11,66,2020-01-19,202001
338,48758,1942,0,50,50,1,20,178,3,534,2020-01-19,202001
339,45191,1011,0,37,30,1,10,62,17,1054,2020-01-19,202001
340,44864,1414,1,43,40,1,30,658,5,3290,2020-01-19,202001
341,15714,1220,0,61,60,1,20,361,6,2166,2020-01-19,202001
342,42165,1496,1,25,20,1,10,77,8,616,2020-01-19,202001
343,49057,1142,0,64,60,1,10,4,2,8,2020-01-19,202001
344,34130,1208,1,30,30,1,30,1881,5,9405,2020-01-19,202001
345,37210,1113,1,71,70,1,10,55,16,880,2020-01-19,202001
346,20204,1589,1,42,40,1,10,66,6,396,2020-01-19,202001
347,43522,1339,1,46,40,1,10,21,13,273,2020-01-19,202001
348,44334,1340,0,45,40,1,10,23,10,230,2020-01-19,202001
349,36753,1977,1,42,40,1,10,19,15,285,2020-01-20,202001
350,28913,1694,0,47,40,1,10,86,19,1634,2020-01-20,202001
351,20651,1758,0,54,50,1,10,88,8,704,2020-01-20,202001
352,46123,1710,0,54,50,1,10,98,14,1372,2020-01-20,202001
353,44127,1975,0,45,40,1,30,1398,3,4194,2020-01-20,202001
354,37937,1448,0,52,50,1,30,1459,3,4377,2020-01-20,202001
355,16740,1065,1,47,40,1,20,457,1,457,2020-01-20,202001
356,13283,1562,1,43,40,1,20,191,7,1337,2020-01-20,202001
357,30757,1138,1,28,20,1,10,2,5,10,2020-01-20,202001
358,40731,1349,1,37,30,1,20,307,1,307,2020-01-20,202001
359,27561,1573,1,52,50,1,20,239,7,1673,2020-01-20,202001
360,47406,1658,1,39,30,1,10,93,20,1860,2020-01-20,202001
361,45150,1922,0,55,50,1,20,205,6,1230,2020-01-20,202001
362,41167,1091,1,48,40,1,20,219,8,1752,2020-01-20,202001
363,14811,1383,0,28,20,1,20,461,8,3688,2020-01-20,202001
364,46546,1264,0,54,50,1,20,155,7,1085,2020-01-20,202001
365,20104,1867,1,40,40,1,10,17,9,153,2020-01-20,202001
366,31629,1321,1,50,50,1,20,338,8,2704,2020-01-20,202001
367,17635,1581,0,54,50,1,20,291,9,2619,2020-01-20,202001
368,10055,1889,1,38,30,1,20,435,6,2610,2020-01-20,202001
369,14740,1151,0,49,40,1,20,289,1,289,2020-01-21,202001
370,46659,1630,1,50,50,1,10,40,8,320,2020-01-21,202001
371,40432,1422,1,55,50,1,10,33,11,363,2020-01-21,202001
372,44916,1636,1,52,50,1,10,36,13,468,2020-01-21,202001
373,18076,1432,1,47,40,1,10,100,4,400,2020-01-21,202001
374,23466,1120,0,51,50,1,10,41,17,697,2020-01-21,202001
375,37841,1570,1,38,30,1,10,38,11,418,2020-01-21,202001
376,10561,1048,1,51,50,1,10,34,14,476,2020-01-21,202001
377,40315,1352,0,56,50,1,10,7,4,28,2020-01-21,202001
378,44352,1107,1,23,20,1,10,49,2,98,2020-01-21,202001
379,23894,1310,0,56,50,1,20,278,2,556,2020-01-21,202001
380,22098,1763,0,44,40,1,30,901,1,901,2020-01-21,202001
381,26813,1095,0,33,30,1,10,5,6,30,2020-01-21,202001
382,24457,1500,1,47,40,1,20,280,8,2240,2020-01-21,202001
383,25185,1893,0,49,40,1,10,66,2,132,2020-01-21,202001
384,23133,1176,0,55,50,1,10,81,19,1539,2020-01-22,202001
385,44374,1734,0,38,30,1,10,96,14,1344,2020-01-22,202001
386,11335,1880,0,47,40,1,10,47,14,658,2020-01-22,202001
387,16833,1217,0,56,50,1,10,49,10,490,2020-01-22,202001
388,34476,1607,0,23,20,1,30,1741,1,1741,2020-01-22,202001
389,14764,1811,0,46,40,1,30,1862,5,9310,2020-01-22,202001
390,48689,1196,0,49,40,1,20,171,6,1026,2020-01-22,202001
391,28165,1241,1,27,20,1,10,87,13,1131,2020-01-22,202001
392,26807,1559,0,51,50,1,20,124,9,1116,2020-01-22,202001
393,45682,1952,1,45,40,1,30,733,4,2932,2020-01-22,202001
394,44321,1629,0,52,50,1,30,942,1,942,2020-01-22,202001
395,25672,1802,1,56,50,1,10,100,12,1200,2020-01-22,202001
396,17676,1786,0,38,30,1,20,338,5,1690,2020-01-22,202001
397,30434,1976,1,52,50,1,10,4,13,52,2020-01-22,202001
398,37673,1470,1,61,60,1,10,16,18,288,2020-01-22,202001
399,47618,1834,1,54,50,1,30,1653,3,4959,2020-01-22,202001
400,29576,1728,1,40,40,1,10,24,12,288,2020-01-23,202001
401,28826,1243,0,46,40,1,20,321,6,1926,2020-01-23,202001
402,37274,1279,0,37,30,1,10,41,2,82,2020-01-23,202001
